Network,Snapshot,# nodes,# edges,Density,Avg. degree,Avg. clustering,# connected components,# communities,Modularity
Class Complete,2022-11-01,27920,72777139,0.18672811010484588,5213.262106017225,0.695302884413618,1,5,0.4878990181600386
Class 1,2022-11-01,27911,47173429,0.12111340339214319,3380.275088674719,0.46943439598006387,1,5,0.49321376674744294
Class 2,2022-11-01,20363,1373833,0.0066267676790503416,134.93424348082306,0.5868376634023016,17,24,0.4349077461483648
Class 3,2022-11-01,27899,23980819,0.06162150485825417,1719.1167425355789,0.3531576491939392,2,4,0.4664705738704711
Class 4,2022-11-01,18453,249058,0.0014629182717868347,26.993767951010614,0.2671171661324245,29,45,0.6213474140752432
Class Complete,2023-01-08,28247,86478838,0.21677567958565888,6123.045845576549,0.6947801246036693,1,4,0.23202952177534336
Class 1,2023-01-08,28230,41729887,0.10472993463571997,2956.4213248317596,0.30137868949448615,1,6,0.25877893769028604
Class 2,2023-01-08,27401,4940636,0.013161211815755032,360.6172037516882,0.39371973078254097,12,21,0.3069308420279698
Class 3,2023-01-08,28236,37192895,0.09330373183619467,2634.4308683949425,0.38951088540702616,1,6,0.30971289788461503
Class 4,2023-01-08,27578,2615420,0.006877991736863797,189.67437812749324,0.3476834078902255,8,16,0.3423311077017229
